lat,lon,Prediction
37.7725405392,-122.466204668,1.0
37.7754207067,-122.403404791,0.0
37.7864394525,-122.409660752,0.0
37.7578801214,-122.417955822,2.0
37.7869881885,-122.410699658,0.0
37.7869881885,-122.410699658,0.0
37.7869881885,-122.410699658,0.0
37.7578884408,-122.417817853,2.0
37.7833104067,-122.388379874,0.0
37.7833104067,-122.388379874,0.0
37.7833104067,-122.388379874,0.0
37.7833104067,-122.388379874,0.0
37.7833104067,-122.388379874,0.0
37.7833104067,-122.388379874,0.0
37.7754207067,-122.403404791,0.0
37.7754207067,-122.403404791,0.0
37.7833104067,-122.388379874,0.0
37.7833104067,-122.388379874,0.0
37.7833104067,-122.388379874,0.0
37.7833104067,-122.388379874,0.0
37.790463178,-122.405941469,0.0
37.7899019823,-122.407114491,0.0
37.7859988324,-122.411747372,0.0
37.7859342572,-122.426508142,0.0
37.7808757917,-122.470190416,1.0
37.7769551138,-122.417997608,0.0
37.7513339692,-122.478349616,1.0
37.7588312135,-122.415781282,2.0
37.7586968166,-122.417964484,2.0
37.7812550935,-122.458860616,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7854574903,-122.400916029,0.0
37.7383655655,-122.47548463,1.0
37.787359495,-122.408231026,0.0
37.787965257,-122.418467748,0.0
37.787965257,-122.418467748,0.0
37.7571005796,-122.417812559,2.0
37.7571005796,-122.417812559,2.0
37.7604330004,-122.41592985,2.0
37.7604330004,-122.41592985,2.0
37.787965257,-122.418467748,0.0
37.787965257,-122.418467748,0.0
37.7604330004,-122.41592985,2.0
37.7588955948,-122.414693065,2.0
37.787965257,-122.418467748,0.0
37.7604330004,-122.41592985,2.0
37.787965257,-122.418467748,0.0
37.787965257,-122.418467748,0.0
37.7604330004,-122.41592985,2.0
37.7604330004,-122.41592985,2.0
37.787965257,-122.418467748,0.0
37.787965257,-122.418467748,0.0
37.787965257,-122.418467748,0.0
37.787965257,-122.418467748,0.0
37.787965257,-122.418467748,0.0
37.787965257,-122.418467748,0.0
37.7618358012,-122.419360353,2.0
37.7618358012,-122.419360353,2.0
37.7634954373,-122.418486297,2.0
37.7604330004,-122.41592985,2.0
37.7604330004,-122.41592985,2.0
37.7604330004,-122.41592985,2.0
37.7604330004,-122.41592985,2.0
37.7604330004,-122.41592985,2.0
37.7604330004,-122.41592985,2.0
37.7604330004,-122.41592985,2.0
37.787965257,-122.418467748,0.0
37.787148808,-122.409876623,0.0
37.787965257,-122.418467748,0.0
37.7604330004,-122.41592985,2.0
37.7604330004,-122.41592985,2.0
37.7604330004,-122.41592985,2.0
37.7604330004,-122.41592985,2.0
37.7604330004,-122.41592985,2.0
37.7874861572,-122.418368839,0.0
37.787965257,-122.418467748,0.0
37.7870372044,-122.418274172,0.0
37.7549624154,-122.426635077,2.0
37.7635718956,-122.417332583,2.0
37.729738145,-122.383433949,2.0
37.7571005796,-122.417812559,2.0
37.7590272974,-122.412502864,2.0
37.7884982866,-122.406775392,0.0
37.7882933915,-122.40840386,0.0
37.7646048757,-122.405466576,2.0
37.7586968166,-122.417964484,2.0
37.7851670876,-122.417903978,0.0
37.787148808,-122.409876623,0.0
37.7629167767,-122.412173946,2.0
37.7617009782,-122.411090795,2.0
37.7531779939,-122.403409085,2.0
37.755504342,-122.41766064,2.0
37.7540986882,-122.414233849,2.0
37.7626384173,-122.395565262,2.0
37.7330708174,-122.385001534,2.0
37.7990019437,-122.441811628,0.0
37.7817199969,-122.469628051,1.0
37.7530422086,-122.504883711,1.0
37.7427355501,-122.481592052,1.0
37.7424682354,-122.490170247,1.0
37.7878271137,-122.408384276,0.0
