lat,lon,k2,k3,k4,k5,k6
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.787148808,-122.409876623,1.0,1.0,0.0,0.0,5.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7604330004,-122.41592985,0.0,0.0,1.0,1.0,1.0
37.7874861572,-122.418368839,1.0,1.0,0.0,3.0,0.0
37.787965257,-122.418467748,1.0,1.0,0.0,3.0,0.0
37.7870372044,-122.418274172,1.0,1.0,0.0,3.0,0.0
37.7549624154,-122.426635077,0.0,0.0,1.0,1.0,1.0
37.7635718956,-122.417332583,0.0,0.0,1.0,1.0,1.0
37.729738145,-122.383433949,0.0,0.0,1.0,1.0,3.0
37.7571005796,-122.417812559,0.0,0.0,1.0,1.0,1.0
37.7590272974,-122.412502864,0.0,0.0,1.0,1.0,1.0
37.7884982866,-122.406775392,1.0,1.0,0.0,0.0,5.0
37.7882933915,-122.40840386,1.0,1.0,0.0,0.0,5.0
37.7646048757,-122.405466576,0.0,0.0,1.0,1.0,1.0
37.7586968166,-122.417964484,0.0,0.0,1.0,1.0,1.0
37.7851670876,-122.417903978,1.0,1.0,0.0,3.0,0.0
37.787148808,-122.409876623,1.0,1.0,0.0,0.0,5.0
37.7629167767,-122.412173946,0.0,0.0,1.0,1.0,1.0
37.7617009782,-122.411090795,0.0,0.0,1.0,1.0,1.0
37.7531779939,-122.403409085,0.0,0.0,1.0,1.0,1.0
37.755504342,-122.41766064,0.0,0.0,1.0,1.0,1.0
37.7540986882,-122.414233849,0.0,0.0,1.0,1.0,1.0
37.7626384173,-122.395565262,0.0,0.0,1.0,1.0,1.0
37.7330708174,-122.385001534,0.0,0.0,1.0,1.0,3.0
37.7990019437,-122.441811628,1.0,1.0,0.0,3.0,0.0
37.7817199969,-122.469628051,1.0,2.0,2.0,2.0,2.0
37.7530422086,-122.504883711,0.0,2.0,2.0,2.0,2.0
37.7427355501,-122.481592052,0.0,2.0,2.0,2.0,2.0
37.7424682354,-122.490170247,0.0,2.0,2.0,2.0,2.0
37.7878271137,-122.408384276,1.0,1.0,0.0,0.0,5.0
37.787764099,-122.409925328,1.0,1.0,0.0,0.0,5.0
37.7878271137,-122.408384276,1.0,1.0,0.0,0.0,5.0
37.7589402059,-122.413045094,0.0,0.0,1.0,1.0,1.0
37.7622630617,-122.412179604,0.0,0.0,1.0,1.0,1.0
37.7639259195,-122.405468776,0.0,0.0,1.0,1.0,1.0
37.7882184508,-122.418445946,1.0,1.0,0.0,3.0,0.0
37.7890603556,-122.392347672,1.0,1.0,0.0,0.0,5.0
37.7882398998,-122.409256096,1.0,1.0,0.0,0.0,5.0
37.7527667267,-122.410519782,0.0,0.0,1.0,1.0,1.0
37.7609766091,-122.434457354,0.0,0.0,1.0,1.0,1.0
37.7639259195,-122.405468776,0.0,0.0,1.0,1.0,1.0
37.7639259195,-122.405468776,0.0,0.0,1.0,1.0,1.0
37.7897596938,-122.404828019,1.0,1.0,0.0,0.0,5.0
37.7895016292,-122.41027135,1.0,1.0,0.0,0.0,5.0
37.783695227,-122.410791678,1.0,1.0,0.0,0.0,5.0
37.7648250318,-122.412422725,0.0,0.0,1.0,1.0,1.0
37.798391758,-122.42480864,1.0,1.0,0.0,3.0,0.0
37.787722739,-122.412439198,1.0,1.0,0.0,3.0,0.0
37.763035554,-122.50966216,0.0,2.0,2.0,2.0,2.0
37.763035554,-122.50966216,0.0,2.0,2.0,2.0,2.0
37.763035554,-122.50966216,0.0,2.0,2.0,2.0,2.0
37.763035554,-122.50966216,0.0,2.0,2.0,2.0,2.0
37.763035554,-122.50966216,0.0,2.0,2.0,2.0,2.0
37.763035554,-122.50966216,0.0,2.0,2.0,2.0,2.0
37.763035554,-122.50966216,0.0,2.0,2.0,2.0,2.0
37.763035554,-122.50966216,0.0,2.0,2.0,2.0,2.0
37.763035554,-122.50966216,0.0,2.0,2.0,2.0,2.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7912255174,-122.404195425,1.0,1.0,0.0,0.0,5.0
37.785738295,-122.41382007,1.0,1.0,0.0,3.0,0.0
37.785738295,-122.41382007,1.0,1.0,0.0,3.0,0.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7887345764,-122.406886504,1.0,1.0,0.0,0.0,5.0
37.7320374278,-122.380028764,0.0,0.0,1.0,1.0,3.0
37.7878271137,-122.408384276,1.0,1.0,0.0,0.0,5.0
37.7867259286,-122.412755326,1.0,1.0,0.0,3.0,0.0
37.7424057567,-122.489090192,0.0,2.0,2.0,2.0,2.0
37.778632049,-122.410111374,1.0,1.0,0.0,0.0,5.0
37.7840890367,-122.411800135,1.0,1.0,0.0,0.0,5.0
37.7773983117,-122.422254495,1.0,1.0,0.0,3.0,0.0
37.7754207067,-122.403404791,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7869881885,-122.410699658,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
37.7854574903,-122.400916029,1.0,1.0,0.0,0.0,5.0
